[0.000000] (-) TimerEvent: {}
[0.000291] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000357] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000376] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000392] (-) JobUnselected: {'identifier': 'columbus'}
[0.000407] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000422] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000436] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000450] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.000464] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000478] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.000491] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.000505] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.000519] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.000532] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.000546] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000559] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.000573] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.000586] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.000600] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.000614] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.000628] (-) JobUnselected: {'identifier': 'parallel_gripper_controller'}
[0.000642] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.000656] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.000669] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.000683] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.000697] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.000710] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.000724] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.000738] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.000751] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.000765] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.000779] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.000793] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.000807] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.000820] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.000834] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.000848] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.000865] (mecanum_drive_controller) JobQueued: {'identifier': 'mecanum_drive_controller', 'dependencies': OrderedDict([('control_msgs', '/home/jowi/dev_ws/install/control_msgs'), ('controller_manager_msgs', '/home/jowi/dev_ws/install/controller_manager_msgs'), ('joint_limits', '/home/jowi/dev_ws/install/joint_limits'), ('ros2_control_test_assets', '/home/jowi/dev_ws/install/ros2_control_test_assets'), ('hardware_interface', '/home/jowi/dev_ws/install/hardware_interface'), ('controller_interface', '/home/jowi/dev_ws/install/controller_interface'), ('hardware_interface_testing', '/home/jowi/dev_ws/install/hardware_interface_testing'), ('controller_manager', '/home/jowi/dev_ws/install/controller_manager')])}
[0.000899] (mecanum_drive_controller) JobStarted: {'identifier': 'mecanum_drive_controller'}
[0.021880] (mecanum_drive_controller) JobEnded: {'identifier': 'mecanum_drive_controller', 'rc': 1}
[0.032474] (-) EventReactorShutdown: {}
