[0.000000] (-) TimerEvent: {}
[0.000145] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000171] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000190] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000205] (-) JobUnselected: {'identifier': 'columbus'}
[0.000220] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000235] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000249] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.000263] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000278] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.000292] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.000307] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.000321] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.000335] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.000350] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000364] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.000378] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.000393] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.000407] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.000421] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.000436] (-) JobUnselected: {'identifier': 'parallel_gripper_controller'}
[0.000450] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.000465] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.000479] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.000493] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.000506] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.000521] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.000535] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.000549] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.000563] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.000577] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.000592] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.000606] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.000620] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.000634] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.000648] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.000662] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.000678] (mecanum_drive_controller) JobQueued: {'identifier': 'mecanum_drive_controller', 'dependencies': OrderedDict([('controller_manager_msgs', '/home/jowi/dev_ws/install/controller_manager_msgs'), ('joint_limits', '/home/jowi/dev_ws/install/joint_limits'), ('ros2_control_test_assets', '/home/jowi/dev_ws/install/ros2_control_test_assets'), ('hardware_interface', '/home/jowi/dev_ws/install/hardware_interface'), ('controller_interface', '/home/jowi/dev_ws/install/controller_interface'), ('hardware_interface_testing', '/home/jowi/dev_ws/install/hardware_interface_testing'), ('controller_manager', '/home/jowi/dev_ws/install/controller_manager')])}
[0.000709] (mecanum_drive_controller) JobStarted: {'identifier': 'mecanum_drive_controller'}
[0.012185] (mecanum_drive_controller) JobEnded: {'identifier': 'mecanum_drive_controller', 'rc': 1}
[0.022689] (-) EventReactorShutdown: {}
